,type,年,月/日,縣市,地區
322,住宅竊盜,106,0505,高雄市,左營區
323,住宅竊盜,106,0505,台南市,玉井區
324,住宅竊盜,106,0505,台南市,仁德區
325,住宅竊盜,106,0505,苗栗縣,竹南鎮
326,住宅竊盜,106,0505,基隆市,七堵區
327,住宅竊盜,106,0506,雲林縣,斗南鎮
328,住宅竊盜,106,0506,新北市,中和區
329,住宅竊盜,106,0506,桃園市,中壢區
330,住宅竊盜,106,0506,新北市,板橋區
331,住宅竊盜,106,0506,台中市,中區
332,住宅竊盜,106,0506,新北市,萬里區
333,住宅竊盜,106,0506,南投縣,草屯鎮
334,住宅竊盜,106,0506,台北市,南港區
335,住宅竊盜,106,0506,台南市,北門區
336,住宅竊盜,106,0507,新北市,樹林區
337,住宅竊盜,106,0507,新北市,瑞芳區
338,住宅竊盜,106,0507,澎湖縣,馬公市
339,住宅竊盜,106,0507,新北市,蘆洲區
340,住宅竊盜,106,0507,新北市,蘆洲區
341,住宅竊盜,106,0508,台北市,萬華區
342,住宅竊盜,106,0508,基隆市,中正區
343,住宅竊盜,106,0508,新北市,土城區
344,住宅竊盜,106,0508,台南市,龍崎區
345,住宅竊盜,106,0508,台北市,中正區
346,住宅竊盜,106,0508,高雄市,鳳山區
347,住宅竊盜,106,0508,桃園市,八德區
348,住宅竊盜,106,0509,高雄市,鼓山區
349,住宅竊盜,106,0509,高雄市,湖內區
350,住宅竊盜,106,0509,新北市,新店區
351,住宅竊盜,106,0509,南投縣,埔里鎮
352,住宅竊盜,106,0509,高雄市,內門區
353,住宅竊盜,106,0509,新北市,新店區
354,住宅竊盜,106,0509,雲林縣,台西鄉
355,住宅竊盜,106,0509,桃園市,桃園區
356,住宅竊盜,106,0509,南投縣,埔里鎮
357,住宅竊盜,106,0510,新北市,蘆洲區
358,住宅竊盜,106,0510,南投縣,竹山鎮
359,住宅竊盜,106,0510,雲林縣,虎尾鎮
360,住宅竊盜,106,0510,台北市,信義區
361,住宅竊盜,106,0510,高雄市,橋頭區
362,住宅竊盜,106,0510,台南市,永康區
363,住宅竊盜,106,0510,台中市,西屯區
364,住宅竊盜,106,0510,彰化縣,和美鎮
365,住宅竊盜,106,0510,嘉義市,西區
366,住宅竊盜,106,0510,新北市,樹林區
367,住宅竊盜,106,0511,台北市,內湖區
368,住宅竊盜,106,0511,新北市,板橋區
369,住宅竊盜,106,0511,桃園市,平鎮區
370,住宅竊盜,106,0511,新北市,瑞芳區
371,住宅竊盜,106,0512,新北市,新店區
372,住宅竊盜,106,0512,南投縣,南投市
373,住宅竊盜,106,0512,高雄市,左營區
374,住宅竊盜,106,0512,台南市,北區
375,住宅竊盜,106,0512,台南市,仁德區
376,住宅竊盜,106,0512,雲林縣,虎尾鎮
377,住宅竊盜,106,0512,新北市,新店區
378,住宅竊盜,106,0512,台中市,南區
379,住宅竊盜,106,0512,新竹縣,芎林鄉
380,住宅竊盜,106,0512,台南市,北區
381,住宅竊盜,106,0512,新竹縣,新埔鎮
382,住宅竊盜,106,0512,台南市,六甲區
383,住宅竊盜,106,0512,台北市,松山區
384,住宅竊盜,106,0512,宜蘭縣,羅東鎮
385,住宅竊盜,106,0513,基隆市,安樂區
386,住宅竊盜,106,0513,台北市,北投區
387,住宅竊盜,106,0513,高雄市,左營區
388,住宅竊盜,106,0513,澎湖縣,馬公市
389,住宅竊盜,106,0513,桃園市,中壢區
390,住宅竊盜,106,0513,南投縣,埔里鎮
391,住宅竊盜,106,0513,高雄市,左營區
392,住宅竊盜,106,0513,南投縣,仁愛鄉
393,住宅竊盜,106,0514,新北市,新店區
394,住宅竊盜,106,0514,嘉義市,西區
395,住宅竊盜,106,0514,桃園市,桃園區
396,住宅竊盜,106,0514,高雄市,鳥松區
397,住宅竊盜,106,0514,台中市,北屯區
398,住宅竊盜,106,0514,台南市,北區
399,住宅竊盜,106,0514,花蓮縣,秀林鄉
400,住宅竊盜,106,0515,新北市,板橋區
401,住宅竊盜,106,0515,台北市,信義區
402,住宅竊盜,106,0515,台北市,士林區
403,住宅竊盜,106,0515,台北市,中山區
404,住宅竊盜,106,0516,新北市,樹林區
405,住宅竊盜,106,0516,南投縣,草屯鎮
406,住宅竊盜,106,0516,台中市,神岡區
407,住宅竊盜,106,0516,台北市,大安區
408,住宅竊盜,106,0516,宜蘭縣,頭城鎮
409,住宅竊盜,106,0516,宜蘭縣,頭城鎮
410,住宅竊盜,106,0516,台北市,大同區
411,住宅竊盜,106,0517,台北市,中正區
412,住宅竊盜,106,0517,嘉義市,東區
413,住宅竊盜,106,0517,桃園市,八德區
414,住宅竊盜,106,0517,基隆市,中正區
415,住宅竊盜,106,0517,台南市,永康區
416,住宅竊盜,106,0517,台北市,內湖區
417,住宅竊盜,106,0517,台北市,南港區
418,住宅竊盜,106,0517,新北市,土城區
419,住宅竊盜,106,0517,雲林縣,斗南鎮
420,住宅竊盜,106,0517,新北市,三重區
421,住宅竊盜,106,0518,雲林縣,虎尾鎮
422,住宅竊盜,106,0518,金門縣,金城鎮
423,住宅竊盜,106,0518,台南市,歸仁區
424,住宅竊盜,106,0518,台北市,萬華區
425,住宅竊盜,106,0518,台北市,萬華區
426,住宅竊盜,106,0519,台中市,神岡區
427,住宅竊盜,106,0519,台中市,神岡區
428,住宅竊盜,106,0519,宜蘭縣,宜蘭市
429,住宅竊盜,106,0519,新北市,土城區
430,住宅竊盜,106,0519,新北市,板橋區
431,住宅竊盜,106,0519,雲林縣,西螺鎮
432,住宅竊盜,106,0519,台北市,中山區
433,住宅竊盜,106,0519,台中市,神岡區
434,住宅竊盜,106,0519,基隆市,仁愛區
435,住宅竊盜,106,0519,台北市,士林區
436,住宅竊盜,106,0519,高雄市,楠梓區
437,住宅竊盜,106,0519,台南市,北區
438,住宅竊盜,106,0519,台中市,大甲區
439,住宅竊盜,106,0520,桃園市,中壢區
440,住宅竊盜,106,0520,台南市,北區
441,住宅竊盜,106,0520,台中市,太平區
442,住宅竊盜,106,0520,台中市,北屯區
443,住宅竊盜,106,0520,彰化縣,和美鎮
444,住宅竊盜,106,0520,台南市,善化區
445,住宅竊盜,106,0520,新北市,土城區
446,住宅竊盜,106,0520,新北市,三重區
447,住宅竊盜,106,0520,台中市,北區
448,住宅竊盜,106,0520,台北市,中山區
449,住宅竊盜,106,0521,澎湖縣,白沙鄉
450,住宅竊盜,106,0521,宜蘭縣,五結鄉
451,住宅竊盜,106,0521,台南市,北區
452,住宅竊盜,106,0521,台中市,西區
453,住宅竊盜,106,0521,台南市,永康區
454,住宅竊盜,106,0521,台中市,東勢區
455,住宅竊盜,106,0521,新北市,三重區
456,住宅竊盜,106,0521,台南市,永康區
457,住宅竊盜,106,0522,苗栗縣,竹南鎮
458,住宅竊盜,106,0522,新竹市,香山區
459,住宅竊盜,106,0522,彰化縣,大村鄉
460,住宅竊盜,106,0522,高雄市,旗山區
461,住宅竊盜,106,0522,高雄市,鳳山區
462,住宅竊盜,106,0522,台南市,新營區
463,住宅竊盜,106,0522,南投縣,埔里鎮
464,住宅竊盜,106,0522,桃園市,大園區
465,住宅竊盜,106,0522,金門縣,烈嶼鄉
