,縣市名,地區名,電影院,百貨,好市多,全聯,頂好
264,高雄市,三民區,7,0,0,1,10
265,高雄市,楠梓區,0,0,0,0,4
266,高雄市,小港區,0,0,0,0,4
267,高雄市,左營區,0,2,0,1,10
268,高雄市,仁武區,0,0,0,0,3
269,高雄市,大社區,0,0,0,0,1
270,高雄市,岡山區,1,0,0,0,2
271,高雄市,路竹區,0,0,0,0,1
272,高雄市,阿蓮區,0,0,0,0,1
273,高雄市,田寮區,0,0,0,0,0
274,高雄市,燕巢區,0,0,0,0,1
275,高雄市,橋頭區,0,0,0,0,1
276,高雄市,梓官區,0,0,0,0,1
277,高雄市,彌陀區,0,0,0,0,0
278,高雄市,永安區,0,0,0,0,0
279,高雄市,湖內區,0,0,0,0,0
280,高雄市,鳳山區,0,0,0,0,8
281,高雄市,大寮區,0,0,0,0,2
282,高雄市,林園區,0,0,0,0,2
283,高雄市,鳥松區,0,0,0,0,0
284,高雄市,大樹區,1,1,0,0,0
285,高雄市,旗山區,0,0,0,0,1
286,高雄市,美濃區,0,0,0,0,1
287,高雄市,六龜區,0,0,0,0,0
288,高雄市,內門區,0,0,0,0,0
289,高雄市,杉林區,0,0,0,0,0
290,高雄市,甲仙區,0,0,0,0,0
291,高雄市,桃源區,0,0,0,0,0
292,高雄市,茂林區,0,0,0,0,0
293,高雄市,茄萣區,0,0,0,0,0
294,澎湖縣,馬公市,2,1,0,0,3
295,澎湖縣,西嶼鄉,0,0,0,0,0
296,澎湖縣,望安鄉,0,0,0,0,0
297,澎湖縣,七美鄉,0,0,0,0,0
298,澎湖縣,白沙鄉,0,0,0,0,0
299,澎湖縣,湖西鄉,0,0,0,0,0
300,金門縣,金沙鎮,0,0,0,0,0
301,金門縣,金湖鎮,2,1,0,0,0
302,金門縣,金寧鄉,0,0,0,0,0
303,金門縣,金城鎮,0,0,0,0,0
304,金門縣,烈嶼鄉,0,0,0,0,0
305,金門縣,烏坵鄉,0,0,0,0,0
306,屏東縣,屏東市,2,1,0,0,5
307,屏東縣,霧臺鄉,0,0,0,0,0
308,屏東縣,瑪家鄉,0,0,0,0,0
309,屏東縣,九如鄉,0,0,0,0,0
310,屏東縣,里港鄉,0,0,0,0,1
311,屏東縣,高樹鄉,0,0,0,0,1
312,屏東縣,鹽埔鄉,0,0,0,0,1
313,屏東縣,長治鄉,0,0,0,0,0
314,屏東縣,麟洛鄉,0,0,0,0,0
315,屏東縣,竹田鄉,0,0,0,0,0
